day,LGAV,LGRP,LGSA,LGIR,LGTS,LGKO
2019-01-01 00:00:00+00:00,128.0,,4.0,10.0,,
2019-01-02 00:00:00+00:00,175.0,,4.0,11.0,,
2019-01-03 00:00:00+00:00,170.0,,4.0,12.0,,
2019-01-04 00:00:00+00:00,185.0,,4.0,15.0,,
2019-01-05 00:00:00+00:00,163.0,,4.0,11.0,,
2019-01-06 00:00:00+00:00,178.0,,5.0,13.0,,
2019-01-07 00:00:00+00:00,165.0,,6.0,13.0,,
2019-01-08 00:00:00+00:00,142.0,,4.0,12.0,,
2019-01-09 00:00:00+00:00,163.0,,5.0,11.0,,
2019-01-10 00:00:00+00:00,162.0,,4.0,9.0,,
2019-01-11 00:00:00+00:00,169.0,,2.0,15.0,,
2019-01-12 00:00:00+00:00,140.0,,2.0,15.0,,
2019-01-13 00:00:00+00:00,147.0,,2.0,13.0,,
2019-01-14 00:00:00+00:00,145.0,,2.0,13.0,,
2019-01-15 00:00:00+00:00,127.0,,2.0,11.0,,
2019-01-16 00:00:00+00:00,146.0,,3.0,9.0,,
2019-01-17 00:00:00+00:00,148.0,,2.0,14.0,,
2019-01-18 00:00:00+00:00,161.0,,2.0,12.0,,
2019-01-19 00:00:00+00:00,135.0,,3.0,7.0,,
2019-01-20 00:00:00+00:00,148.0,,4.0,12.0,,
2019-01-21 00:00:00+00:00,160.0,,6.0,13.0,,
2019-01-22 00:00:00+00:00,62.0,,3.0,10.0,,
2019-01-23 00:00:00+00:00,42.0,,4.0,15.0,,
2019-01-24 00:00:00+00:00,57.0,,4.0,12.0,,
2019-01-25 00:00:00+00:00,72.0,,4.0,10.0,,
2019-01-26 00:00:00+00:00,123.0,,5.0,12.0,,
2019-01-27 00:00:00+00:00,102.0,,5.0,13.0,,
2019-01-28 00:00:00+00:00,33.0,,5.0,11.0,,
2019-01-29 00:00:00+00:00,28.0,,6.0,10.0,,
2019-01-30 00:00:00+00:00,24.0,,6.0,12.0,,
2019-01-31 00:00:00+00:00,20.0,,6.0,10.0,,
2019-02-01 00:00:00+00:00,34.0,,7.0,15.0,,
2019-02-02 00:00:00+00:00,47.0,,5.0,10.0,,
2019-02-03 00:00:00+00:00,78.0,6.0,5.0,13.0,,
2019-02-04 00:00:00+00:00,110.0,4.0,2.0,14.0,,2.0
2019-02-05 00:00:00+00:00,150.0,6.0,2.0,9.0,,2.0
2019-02-06 00:00:00+00:00,153.0,8.0,3.0,11.0,,2.0
2019-02-07 00:00:00+00:00,157.0,6.0,4.0,15.0,,2.0
2019-02-08 00:00:00+00:00,165.0,5.0,6.0,14.0,,2.0
2019-02-09 00:00:00+00:00,138.0,5.0,4.0,11.0,,2.0
2019-02-10 00:00:00+00:00,157.0,6.0,5.0,11.0,,2.0
2019-02-11 00:00:00+00:00,156.0,5.0,6.0,16.0,,2.0
2019-02-12 00:00:00+00:00,137.0,6.0,4.0,11.0,,2.0
2019-02-13 00:00:00+00:00,149.0,5.0,4.0,16.0,,2.0
2019-02-14 00:00:00+00:00,153.0,6.0,5.0,9.0,,2.0
2019-02-15 00:00:00+00:00,172.0,4.0,5.0,14.0,,2.0
2019-02-16 00:00:00+00:00,140.0,5.0,5.0,12.0,,2.0
2019-02-17 00:00:00+00:00,160.0,7.0,4.0,10.0,1.0,2.0
2019-02-18 00:00:00+00:00,174.0,6.0,4.0,15.0,1.0,2.0
2019-02-19 00:00:00+00:00,149.0,7.0,6.0,17.0,1.0,2.0
2019-02-20 00:00:00+00:00,152.0,4.0,7.0,19.0,1.0,2.0
2019-02-21 00:00:00+00:00,153.0,5.0,5.0,9.0,1.0,2.0
2019-02-22 00:00:00+00:00,150.0,6.0,6.0,12.0,1.0,2.0
2019-02-23 00:00:00+00:00,147.0,6.0,4.0,11.0,1.0,2.0
2019-02-24 00:00:00+00:00,171.0,5.0,3.0,14.0,1.0,3.0
2019-02-25 00:00:00+00:00,163.0,5.0,3.0,12.0,1.0,2.0
2019-02-26 00:00:00+00:00,160.0,4.0,2.0,3.0,1.0,2.0
2019-02-27 00:00:00+00:00,163.0,4.0,2.0,3.0,1.0,2.0
2019-02-28 00:00:00+00:00,168.0,6.0,2.0,4.0,1.0,2.0
2019-03-01 00:00:00+00:00,175.0,7.0,2.0,6.0,1.0,2.0
2019-03-02 00:00:00+00:00,147.0,5.0,3.0,8.0,1.0,2.0
2019-03-03 00:00:00+00:00,160.0,6.0,5.0,12.0,1.0,2.0
2019-03-04 00:00:00+00:00,163.0,5.0,4.0,18.0,1.0,2.0
2019-03-05 00:00:00+00:00,153.0,5.0,4.0,20.0,1.0,2.0
2019-03-06 00:00:00+00:00,164.0,6.0,5.0,21.0,1.0,2.0
2019-03-07 00:00:00+00:00,166.0,8.0,4.0,12.0,1.0,3.0
2019-03-08 00:00:00+00:00,181.0,7.0,4.0,13.0,1.0,2.0
2019-03-09 00:00:00+00:00,154.0,5.0,4.0,11.0,1.0,2.0
2019-03-10 00:00:00+00:00,98.0,6.0,5.0,14.0,1.0,2.0
2019-03-11 00:00:00+00:00,97.0,5.0,5.0,13.0,1.0,2.0
2019-03-12 00:00:00+00:00,96.0,5.0,3.0,12.0,1.0,2.0
2019-03-13 00:00:00+00:00,172.0,5.0,2.0,12.0,1.0,2.0
2019-03-14 00:00:00+00:00,170.0,5.0,3.0,6.0,1.0,2.0
2019-03-15 00:00:00+00:00,167.0,6.0,3.0,8.0,1.0,2.0
2019-03-16 00:00:00+00:00,68.0,5.0,4.0,11.0,1.0,2.0
2019-03-17 00:00:00+00:00,74.0,6.0,5.0,10.0,1.0,2.0
2019-03-18 00:00:00+00:00,80.0,6.0,6.0,10.0,1.0,2.0
2019-03-19 00:00:00+00:00,127.0,4.0,4.0,7.0,1.0,2.0
2019-03-20 00:00:00+00:00,173.0,4.0,4.0,10.0,1.0,2.0
2019-03-21 00:00:00+00:00,165.0,5.0,4.0,6.0,1.0,2.0
2019-03-22 00:00:00+00:00,186.0,6.0,5.0,9.0,1.0,2.0
2019-03-23 00:00:00+00:00,158.0,4.0,6.0,13.0,1.0,2.0
