Model,Features,RMSE,MAPE,MAE,Differencing,Time
Arima,None,81.24,0.39,51.7,True,0:00:44.425
Arima,None,79.76,0.45,53.83,False,0:01:05.483
Arima,Time,82.37,0.39,52.18,True,0:07:07.864
Arima,Time,79.55,0.51,56.65,False,0:17:42.342
Arima,Quarantines,81.24,0.39,51.7,True,0:01:34.822
Arima,Quarantines,82.51,0.36,50.83,False,0:02:07.827
Arima,Covid,81.34,0.39,51.73,True,0:01:06.410
Arima,Covid,82.37,0.37,51.32,False,0:01:15.872
AdaBoost,Covid,84.52,0.39,52.17,True,0:00:00.205
AdaBoost,Covid,44.98,0.28,28.52,False,0:00:00.220
AdaBoost,None,91.89,0.4,57.92,True,0:00:00.151
AdaBoost,None,44.65,0.28,27.87,False,0:00:00.160
AdaBoost,Quarantines,93.31,0.37,56.77,True,0:00:00.161
AdaBoost,Quarantines,45.7,0.29,29.38,False,0:00:00.171
AdaBoost,Time,87.34,0.39,53.97,True,0:00:00.223
AdaBoost,Time,44.94,0.28,28.15,False,0:00:00.236
HGBoost,Covid,93.66,0.44,59.23,True,0:00:00.553
HGBoost,Covid,45.55,0.3,30.32,False,0:00:00.611
HGBoost,None,83.55,0.49,55.73,True,0:00:00.465
HGBoost,None,44.19,0.29,28.73,False,0:00:00.483
HGBoost,Quarantines,80.8,0.58,58.73,True,0:00:00.537
HGBoost,Quarantines,45.02,0.3,29.23,False,0:00:00.598
HGBoost,Time,104.46,0.6,75.22,True,0:00:00.709
HGBoost,Time,43.56,0.29,28.67,False,0:00:00.755
XGBoost,Covid,86.19,0.48,57.2,True,0:00:00.082
XGBoost,Covid,51.81,0.31,36.6,False,0:00:00.083
XGBoost,None,108.67,0.67,80.25,True,0:00:00.070
XGBoost,None,46.52,0.31,30.65,False,0:00:00.064
XGBoost,Quarantines,101.67,0.65,73.93,True,0:00:00.065
XGBoost,Quarantines,47.41,0.33,32.3,False,0:00:00.071
XGBoost,Time,108.82,0.64,78.72,True,0:00:00.082
XGBoost,Time,45.76,0.32,32.43,False,0:00:00.087
BDLSTM,Covid,125.17,1.54,110.87,True,0:00:05.338
BDLSTM,Covid,96.79,0.39,61.8,False,0:00:09.000
BDLSTM,None,83.71,0.38,53.93,True,0:00:07.257
BDLSTM,None,49.03,0.34,32.2,False,0:00:05.730
BDLSTM,Quarantines,84.22,0.82,72.83,True,0:00:06.780
BDLSTM,Quarantines,55.52,0.49,39.7,False,0:00:09.679
BDLSTM,Time,101.76,0.62,75.52,True,0:00:09.060
BDLSTM,Time,47.87,0.36,33.32,False,0:00:06.753
MLP,Covid,81.6,0.76,68.55,True,0:00:00.085
MLP,Covid,135.44,1.0,112.3,False,0:00:00.168
MLP,None,93.75,0.38,57.77,True,0:00:00.042
MLP,None,44.49,0.31,30.22,False,0:00:00.091
MLP,Quarantines,85.69,0.66,64.97,True,0:00:00.071
MLP,Quarantines,44.48,0.28,28.85,False,0:00:00.095
MLP,Time,77.49,0.55,57.72,True,0:00:00.041
MLP,Time,49.52,0.34,34.32,False,0:00:00.237
TCN,Covid,137.13,1.26,111.38,True,0:01:28.562
TCN,Covid,47.2,0.38,33.82,False,0:00:16.276
TCN,None,235.96,2.95,192.8,True,0:00:55.868
TCN,None,48.8,0.32,33.37,False,0:00:22.782
TCN,Quarantines,93.41,0.5,65.92,True,0:01:06.691
TCN,Quarantines,47.81,0.38,31.08,False,0:00:19.738
TCN,Time,154.75,1.89,129.35,True,0:01:42.322
TCN,Time,47.29,0.32,30.63,False,0:00:29.911
